iter	Passed	Remaining
331	1050	2113
332	1053	2110
333	1056	2107
334	1059	2103
335	1062	2098
336	1065	2096
337	1068	2091
338	1071	2088
339	1073	2084
340	1076	2080
341	1079	2077
342	1082	2073
343	1084	2069
344	1088	2066
345	1091	2062
346	1093	2057
347	1096	2054
348	1099	2050
349	1102	2046
350	1113	2058
351	1116	2055
352	1120	2053
353	1123	2049
354	1126	2046
355	1129	2043
356	1132	2039
357	1136	2037
358	1139	2035
359	1143	2032
360	1146	2029
361	1149	2026
362	1152	2022
363	1156	2020
364	1160	2018
365	1163	2015
366	1167	2014
367	1170	2010
368	1174	2008
369	1177	2004
370	1180	2000
371	1183	1997
372	1185	1993
373	1188	1989
374	1191	1985
375	1193	1981
376	1196	1976
377	1199	1973
378	1201	1968
379	1204	1964
380	1207	1961
381	1209	1957
382	1212	1953
383	1215	1949
384	1217	1945
385	1220	1941
386	1223	1937
387	1225	1932
388	1227	1928
389	1230	1924
390	1233	1920
391	1235	1916
392	1238	1913
393	1241	1909
394	1244	1905
395	1247	1902
396	1249	1898
397	1252	1894
398	1255	1890
399	1257	1886
400	1260	1882
401	1262	1878
402	1265	1874
403	1267	1869
404	1270	1865
405	1272	1861
406	1274	1857
407	1277	1853
408	1279	1849
409	1282	1845
410	1285	1841
411	1287	1837
412	1289	1833
413	1292	1829
414	1294	1825
415	1297	1821
416	1299	1817
417	1302	1813
418	1304	1809
419	1307	1805
420	1310	1801
421	1312	1797
422	1314	1793
423	1317	1790
424	1320	1786
425	1322	1781
426	1325	1778
427	1327	1774
428	1329	1770
429	1332	1766
430	1335	1762
431	1337	1758
432	1340	1755
433	1342	1751
434	1345	1747
435	1347	1743
436	1350	1740
437	1353	1736
438	1356	1733
439	1358	1729
440	1361	1725
441	1364	1722
442	1367	1718
443	1369	1715
444	1372	1711
445	1375	1708
446	1377	1704
447	1380	1700
448	1382	1696
449	1385	1692
450	1387	1689
451	1390	1685
452	1392	1681
453	1395	1678
454	1397	1674
455	1400	1670
456	1403	1667
457	1405	1663
458	1408	1659
459	1411	1657
460	1414	1654
461	1417	1651
462	1420	1648
463	1423	1644
464	1425	1640
465	1429	1637
466	1432	1634
467	1435	1632
468	1445	1637
469	1448	1633
470	1452	1631
471	1455	1628
472	1458	1624
473	1461	1621
474	1465	1620
475	1469	1617
476	1472	1614
477	1476	1612
478	1479	1609
479	1482	1606
480	1485	1603
481	1488	1599
482	1491	1596
483	1494	1593
484	1497	1589
485	1500	1586
486	1503	1583
487	1506	1580
488	1509	1577
489	1512	1574
490	1516	1571
491	1518	1568
492	1521	1565
493	1525	1562
494	1528	1559
495	1531	1556
496	1534	1552
497	1537	1549
498	1540	1546
499	1543	1543
500	1545	1539
501	1548	1536
502	1551	1533
503	1554	1529
504	1557	1526
505	1559	1522
506	1563	1519
507	1565	1516
508	1568	1513
509	1571	1509
510	1573	1506
511	1576	1502
512	1579	1499
513	1582	1495
514	1584	1492
515	1587	1489
516	1590	1485
517	1593	1482
518	1596	1479
519	1599	1476
520	1602	1473
521	1605	1470
522	1608	1467
523	1611	1464
524	1614	1460
525	1617	1457
526	1620	1454
527	1622	1450
528	1626	1447
529	1628	1444
530	1631	1441
531	1634	1438
532	1637	1434
533	1640	1431
534	1643	1428
535	1646	1425
536	1649	1422
537	1652	1419
538	1655	1415
539	1658	1413
540	1662	1410
541	1665	1406
542	1667	1403
543	1670	1400
544	1673	1397
545	1676	1393
546	1679	1390
547	1682	1387
548	1685	1384
549	1688	1381
550	1692	1378
551	1694	1375
552	1697	1372
553	1700	1368
554	1702	1365
555	1705	1362
556	1708	1358
557	1710	1355
558	1713	1351
559	1716	1348
560	1718	1344
561	1721	1341
562	1724	1338
563	1726	1334
564	1729	1331
565	1731	1327
566	1734	1324
567	1737	1321
568	1740	1318
569	1743	1314
570	1746	1311
571	1749	1308
572	1752	1305
573	1755	1302
574	1758	1299
575	1761	1296
576	1764	1293
577	1767	1290
578	1769	1286
579	1772	1283
580	1774	1279
581	1777	1276
582	1780	1273
583	1782	1269
584	1785	1266
585	1787	1263
586	1790	1259
587	1793	1256
588	1795	1253
589	1798	1249
590	1801	1246
591	1803	1242
592	1806	1239
593	1808	1236
594	1811	1233
595	1813	1229
596	1816	1226
597	1819	1223
598	1822	1219
599	1825	1216
600	1827	1213
601	1830	1210
602	1833	1206
603	1835	1203
604	1837	1199
605	1840	1196
606	1843	1193
607	1845	1190
608	1848	1186
609	1851	1183
610	1853	1180
611	1856	1176
612	1858	1173
613	1860	1169
614	1863	1166
615	1866	1163
616	1868	1159
617	1871	1156
618	1874	1153
619	1876	1150
620	1879	1146
621	1881	1143
622	1884	1140
623	1886	1136
624	1889	1133
625	1891	1130
626	1894	1126
627	1896	1123
628	1899	1120
629	1901	1116
630	1904	1113
631	1906	1110
632	1909	1106
633	1912	1103
634	1914	1100
635	1916	1096
636	1919	1093
637	1922	1090
638	1924	1087
639	1927	1083
640	1929	1080
641	1932	1077
642	1935	1074
643	1938	1071
644	1940	1067
645	1943	1064
646	1945	1061
647	1948	1058
648	1950	1055
649	1953	1051
650	1955	1048
651	1958	1045
652	1960	1041
653	1962	1038
654	1965	1035
655	1967	1031
656	1970	1028
657	1972	1025
658	1975	1022
659	1977	1018
660	1979	1015
661	1982	1012
662	1985	1008
663	1987	1005
664	1990	1002
665	1992	999
666	1994	995
667	1997	992
668	1999	989
669	2002	986
670	2004	982
671	2007	979
672	2009	976
673	2012	973
674	2015	970
675	2017	966
676	2019	963
677	2022	960
678	2025	957
679	2027	954
680	2030	951
681	2032	947
682	2035	944
683	2037	941
684	2040	938
685	2042	934
686	2045	931
687	2047	928
688	2050	925
689	2052	922
690	2055	919
691	2057	915
692	2059	912
693	2062	909
694	2064	906
695	2067	902
696	2070	899
697	2072	896
698	2076	894
699	2079	891
700	2081	887
701	2084	884
702	2087	881
703	2089	878
704	2092	875
705	2094	872
706	2097	869
707	2099	866
708	2102	862
709	2104	859
710	2107	856
711	2109	853
712	2112	850
713	2114	847
714	2117	844
715	2119	840
716	2122	837
717	2125	834
718	2127	831
719	2130	828
720	2133	825
721	2135	822
722	2138	819
723	2141	816
724	2143	813
725	2146	809
726	2149	807
727	2151	803
728	2153	800
729	2156	797
730	2159	794
731	2161	791
732	2164	788
733	2166	785
734	2168	782
735	2171	778
736	2174	775
737	2176	772
738	2179	769
739	2182	766
740	2184	763
741	2187	760
742	2190	757
743	2192	754
744	2195	751
745	2198	748
746	2200	745
747	2203	742
748	2206	739
749	2208	736
750	2211	733
751	2214	730
752	2216	727
753	2220	724
754	2222	721
755	2224	718
756	2227	715
757	2229	711
758	2231	708
759	2234	705
760	2237	702
761	2239	699
762	2242	696
763	2244	693
764	2247	690
765	2249	687
766	2252	684
767	2254	681
768	2257	678
769	2260	675
770	2262	672
771	2265	669
772	2268	666
773	2270	662
774	2272	659
775	2275	656
776	2278	653
777	2280	650
778	2282	647
779	2285	644
780	2287	641
781	2290	638
782	2292	635
783	2295	632
784	2297	629
785	2300	626
786	2302	623
787	2305	620
788	2307	617
789	2309	614
790	2312	610
791	2315	608
792	2317	604
793	2319	601
794	2322	598
795	2325	595
796	2327	592
797	2330	589
798	2332	586
799	2335	583
800	2338	580
801	2340	577
802	2342	574
803	2345	571
804	2348	568
805	2350	565
806	2353	562
807	2356	559
808	2358	556
809	2361	553
810	2364	550
811	2366	547
812	2369	545
813	2372	542
814	2374	539
815	2377	536
816	2380	533
817	2383	530
818	2387	527
819	2390	524
820	2393	521
821	2396	518
822	2399	516
823	2402	513
824	2405	510
825	2408	507
826	2411	504
827	2414	501
828	2418	498
829	2420	495
830	2423	492
831	2426	490
832	2429	487
833	2432	484
834	2435	481
835	2437	478
836	2440	475
837	2443	472
838	2446	469
839	2449	466
840	2452	463
841	2456	460
842	2459	458
843	2462	455
844	2466	452
845	2470	449
846	2474	447
847	2478	444
848	2482	441
849	2484	438
850	2487	435
851	2497	433
852	2500	430
853	2503	428
854	2506	425
855	2509	422
856	2513	419
857	2516	416
858	2519	413
859	2522	410
860	2525	407
861	2529	404
862	2532	401
863	2534	399
864	2538	396
865	2540	393
866	2544	390
867	2547	387
868	2550	384
869	2553	381
870	2556	378
871	2558	375
872	2562	372
873	2564	369
874	2568	366
875	2571	363
876	2573	360
877	2576	358
878	2579	355
879	2582	352
880	2585	349
881	2588	346
882	2591	343
883	2594	340
884	2597	337
885	2600	334
886	2604	331
887	2607	328
888	2610	325
889	2613	323
890	2617	320
891	2619	317
892	2622	314
893	2625	311
894	2628	308
895	2640	306
896	2643	303
897	2645	300
898	2648	297
899	2651	294
900	2654	291
901	2658	288
902	2661	285
903	2665	283
904	2668	280
905	2671	277
906	2673	274
907	2676	271
908	2679	268
909	2682	265
910	2684	262
911	2687	259
912	2689	256
913	2692	253
914	2695	250
915	2698	247
916	2700	244
917	2703	241
918	2706	238
919	2709	235
920	2712	232
921	2714	229
922	2717	226
923	2720	223
924	2723	220
925	2725	217
926	2729	214
927	2731	211
928	2734	209
929	2737	206
930	2739	203
931	2742	200
932	2745	197
933	2747	194
934	2750	191
935	2753	188
936	2755	185
937	2758	182
938	2761	179
939	2764	176
940	2767	173
941	2769	170
942	2772	167
943	2775	164
944	2777	161
945	2780	158
946	2783	155
947	2785	152
948	2788	149
949	2791	146
950	2793	143
951	2796	141
952	2799	138
953	2801	135
954	2804	132
955	2807	129
956	2809	126
957	2812	123
958	2815	120
959	2817	117
960	2820	114
961	2823	111
962	2825	108
963	2828	105
964	2831	102
965	2833	99
966	2837	96
967	2839	93
968	2842	90
969	2845	87
970	2848	85
971	2850	82
972	2853	79
973	2856	76
974	2858	73
975	2861	70
976	2864	67
977	2866	64
978	2869	61
979	2872	58
980	2874	55
981	2877	52
982	2880	49
983	2882	46
984	2885	43
985	2888	41
986	2890	38
987	2894	35
988	2897	32
989	2900	29
990	2903	26
991	2906	23
992	2926	20
993	2928	17
994	2931	14
995	2934	11
996	2936	8
997	2939	5
998	2942	2
999	2945	0
